No.;Time     ;;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;;;
87;33.121.777;33;192.168.1.16;117.18.232.215;TCP;54;57558  >  443 [ACK] Seq=518 Ack=100 Win=66560 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.121.777;33.124.093;2316;;252;793691;793439;;;;;
88;33.124.093;33;192.168.1.16;52.114.77.33;TLSv1.2;1025;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.124.093;33.124.759;666;;793691;187122;-606569;;;;;
89;33.124.759;33;192.168.1.16;52.114.77.33;TLSv1.2;916;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.124.759;33.314.765;190006;;187122;230;-186892;;;;;
90;33.314.765;33;52.114.77.33;192.168.1.16;TCP;54;443  >  57559 [ACK] Seq=4082 Ack=2135 Win=262656 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.314.765;33.342.221;27456;;230;1252;1022;;;;;
91;33.342.221;33;52.114.77.33;192.168.1.16;TLSv1.2;412;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.342.221;33.382.430;40209;;1252;48126;46874;;;;;
92;33.382.430;33;192.168.1.16;52.114.77.33;TCP;54;57559  >  443 [ACK] Seq=2135 Ack=4440 Win=65792 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.382.430;33.420.340;37910;;48126;139797;91671;;;;;
93;33.420.340;33;192.168.1.16;52.114.77.33;TCP;54;57559  >  443 [FIN, ACK] Seq=2135 Ack=4440 Win=65792 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.420.340;33.610.176;189836;;139797;0;-139797;;;;;
94;33.610.176;34;52.114.77.33;192.168.1.16;TCP;54;443  >  57559 [FIN, ACK] Seq=4440 Ack=2136 Win=262656 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.610.176;33.610.428;252;;0;1087;1087;;;;;
95;33.610.428;34;192.168.1.16;52.114.77.33;TCP;54;57559  >  443 [ACK] Seq=2136 Ack=4441 Win=65792 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.610.428;34.404.119;793691;;1087;6737;5650;;;;;
96;34.404.119;34;192.168.1.16;52.114.77.33;TCP;66;57560  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.404.119;34.591.241;187122;;6737;98534;91797;;;;;
97;34.591.241;35;52.114.77.33;192.168.1.16;TCP;66;443  >  57560 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1440 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.591.241;34.591.471;230;;98534;181;-98353;;;;;
98;34.591.471;35;192.168.1.16;52.114.77.33;TCP;54;57560  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.591.471;34.592.723;1252;;181;91708;91527;;;;;
99;34.592.723;35;192.168.1.16;52.114.77.33;TLSv1.2;262;Client Hello;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.592.723;34.640.849;48126;;91708;22459;-69249;;;;;
100;34.640.849;35;192.168.1.16;40.70.224.145;TCP;54;57545  >  443 [FIN, ACK] Seq=1 Ack=1 Win=258 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.640.849;34.780.646;139797;;22459;407;-22052;;;;;
101;34.780.646;35;52.114.77.33;192.168.1.16;TCP;2958;443  >  57560 [ACK] Seq=1 Ack=209 Win=262656 Len=2904 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.780.646;34.780.646;0;;407;185414;185007;;;;;
102;34.780.646;35;52.114.77.33;192.168.1.16;TLSv1.2;1180;Server Hello, Certificate, Server Key Exchange, Server Hello Done;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.780.646;34.781.733;1087;;185414;3257;-182157;;;;;
103;34.781.733;35;192.168.1.16;52.114.77.33;TCP;54;57560  >  443 [ACK] Seq=209 Ack=4031 Win=66048 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.781.733;34.788.470;6737;;3257;44536;41279;;;;;
104;34.788.470;35;192.168.1.16;52.114.77.33;TLSv1.2;147;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.788.470;34.887.004;98534;;44536;53788;9252;;;;;
105;34.887.004;35;40.70.224.145;192.168.1.16;TCP;54;443  >  57545 [FIN, ACK] Seq=1 Ack=2 Win=1026 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.887.004;34.887.185;181;;53788;186671;132883;;;;;
106;34.887.185;35;192.168.1.16;40.70.224.145;TCP;54;57545  >  443 [ACK] Seq=2 Ack=2 Win=258 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.887.185;34.978.893;91708;;186671;179;-186492;;;;;
107;34.978.893;35;52.114.77.33;192.168.1.16;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.978.893;35.001.352;22459;;179;1305663;1305484;;;;;
108;35.001.352;35;192.168.1.16;52.114.77.33;TLSv1.2;1026;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.001.352;35.001.759;407;;1305663;1862;-1303801;;;;;
109;35.001.759;35;192.168.1.16;52.114.77.33;TLSv1.2;1494;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.001.759;35.187.173;185414;;1862;1301877;1300015;;;;;
110;35.187.173;35;52.114.77.33;192.168.1.16;TCP;54;443  >  57560 [ACK] Seq=4082 Ack=2714 Win=262656 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.187.173;35.190.430;3257;;1301877;25968;-1275909;;;;;
111;35.190.430;35;52.114.77.33;192.168.1.16;TLSv1.2;412;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.190.430;35.234.966;44536;;25968;0;-25968;;;;;
112;35.234.966;35;192.168.1.16;52.114.77.33;TCP;54;57560  >  443 [ACK] Seq=2714 Ack=4440 Win=65792 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.234.966;35.288.754;53788;;0;153;153;;;;;
113;35.288.754;35;192.168.1.16;52.114.77.33;TCP;54;57560  >  443 [FIN, ACK] Seq=2714 Ack=4440 Win=65792 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.288.754;35.475.425;186671;;153;311;158;;;;;
114;35.475.425;35;52.114.77.33;192.168.1.16;TCP;54;443  >  57560 [FIN, ACK] Seq=4440 Ack=2715 Win=262656 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.475.425;35.475.604;179;;311;208;-103;;;;;
115;35.475.604;35;192.168.1.16;52.114.77.33;TCP;54;57560  >  443 [ACK] Seq=2715 Ack=4441 Win=65792 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.475.604;36.781.267;1305663;;208;44086;43878;;;;;
116;36.781.267;37;fe80::7962:bd7e:4086:296;fe80::1;ICMPv6;86;Neighbor Solicitation for fe80::1 from f8:94:c2:4e:37:0c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.781.267;36.783.129;1862;;44086;5087449;5043363;;;;;
117;36.783.129;37;fe80::1;fe80::7962:bd7e:4086:296;ICMPv6;78;Neighbor Advertisement fe80::1 (rtr, sol);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.783.129;38.085.006;1301877;;5087449;26061;-5061388;;;;;
118;38.085.006;38;192.168.1.16;117.18.232.215;TLSv1.3;577;Change Cipher Spec, Client Hello;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.085.006;38.110.974;25968;;26061;0;-26061;;;;;
119;38.110.974;38;117.18.232.215;192.168.1.16;TLSv1.3;1246;[TCP Previous segment not captured] , Continuation Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.110.974;38.110.974;0;;0;211;211;;;;;
120;38.110.974;38;117.18.232.215;192.168.1.16;TCP;2958;[TCP Out-Of-Order] 443  >  57558 [ACK] Seq=100 Ack=1041 Win=68096 Len=2904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.110.974;38.111.127;153;;211;390;179;;;;;
121;38.111.127;38;192.168.1.16;117.18.232.215;TCP;66;[TCP Dup ACK 87#1] 57558  >  443 [ACK] Seq=1041 Ack=100 Win=66560 Len=0 SLE=3004 SRE=4196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.111.127;38.111.438;311;;390;2299859;2299469;;;;;
122;38.111.438;38;192.168.1.16;117.18.232.215;TCP;54;57558  >  443 [ACK] Seq=1041 Ack=4196 Win=66560 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.111.438;38.111.646;208;;2299859;40377;-2259482;;;;;
123;38.111.646;38;117.18.232.215;192.168.1.16;TLSv1.3;1234;Continuation Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.111.646;38.155.732;44086;;40377;43281;2904;;;;;
124;38.155.732;38;192.168.1.16;117.18.232.215;TCP;54;57558  >  443 [ACK] Seq=1041 Ack=5376 Win=65536 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.155.732;43.243.181;5087449;;43281;-45653360;-45696641;;;;;
125;43.243.181;43;192.168.1.16;117.18.232.215;TLSv1.3;128;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.243.181;43.269.242;26061;;-45653360;;45653360;;;;;
126;43.269.242;43;117.18.232.215;192.168.1.16;TLSv1.3;309;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.269.242;43.269.242;0;;;;;;;;;
127;43.269.242;43;117.18.232.215;192.168.1.16;TCP;309;[TCP Out-Of-Order] 443  >  57558 [PSH, ACK] Seq=5376 Ack=1115 Win=68096 Len=255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.269.242;43.269.453;211;;;;;;;;;
128;43.269.453;43;192.168.1.16;117.18.232.215;TCP;66;[TCP Dup ACK 124#1] 57558  >  443 [ACK] Seq=1115 Ack=5376 Win=65536 Len=0 SLE=5631 SRE=5886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.269.453;43.269.843;390;;;;;;;;;
129;43.269.843;43;192.168.1.16;117.18.232.215;TCP;54;57558  >  443 [ACK] Seq=1115 Ack=5886 Win=66560 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.269.843;45.569.702;2299859;;;;;;;;;
130;45.569.702;46;192.168.1.16;117.18.232.215;TLSv1.3;284;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.569.702;45.610.079;40377;;;;;;;;;
131;45.610.079;46;117.18.232.215;192.168.1.16;TLSv1.3;585;Application Data, Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.610.079;45.653.360;43281;;;;;;;;;
132;45.653.360;46;192.168.1.16;117.18.232.215;TCP;54;57558  >  443 [ACK] Seq=1345 Ack=6417 Win=66048 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.653.360;;-45653360;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;total delay;-1463012;;;Total jitter;-12095;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rata-rata delay;-11519,77953;;;rata-rata Jitter;-95,23622047;;;;;
