No.;Time     ;;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;;;
18;13.149.288;13;fe80::1;fe80::7962:bd7e:4086:296;DNS;281;Standard query response 0xa7d9 A www.bing.com CNAME a-0001.a-afdentry.net.trafficmanager.net CNAME dual-a-0001.a-msedge.net A 13.107.21.200 A 204.79.197.200 NS ns2.a-msedge.net NS ns1.a-msedge.net A 204.79.197.1 A 204.79.197.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.149.288;13.158.769;9481;;0;754;754;;;;;
19;13.158.769;13;192.168.1.16;13.107.21.200;TCP;66;57553  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.158.769;13.181.687;22918;;754;230;-524;;;;;
20;13.181.687;13;13.107.21.200;192.168.1.16;TCP;66;443  >  57553 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.181.687;13.182.110;423;;230;223;-7;;;;;
21;13.182.110;13;192.168.1.16;13.107.21.200;TCP;54;57553  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.182.110;13.188.190;6080;;223;210;-13;;;;;
22;13.188.190;13;192.168.1.16;13.107.21.200;TLSv1.2;255;Client Hello;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.188.190;13.211.501;23311;;210;748960;748750;;;;;
23;13.211.501;13;13.107.21.200;192.168.1.16;TCP;54;443  >  57553 [ACK] Seq=1 Ack=202 Win=525312 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.211.501;13.213.390;1889;;748960;73551;-675409;;;;;
24;13.213.390;13;13.107.21.200;192.168.1.16;TCP;2958;443  >  57553 [ACK] Seq=1 Ack=202 Win=525312 Len=2904 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.213.390;13.213.390;0;;73551;100858;27307;;;;;
25;13.213.390;13;13.107.21.200;192.168.1.16;TCP;142;[TCP Previous segment not captured] 443  >  57553 [PSH, ACK] Seq=7261 Ack=202 Win=525312 Len=88 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.213.390;13.213.390;0;;100858;48387;-52471;;;;;
26;13.213.390;13;13.107.21.200;192.168.1.16;TCP;1506;[TCP Out-Of-Order] 443  >  57553 [ACK] Seq=2905 Ack=202 Win=525312 Len=1452 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.213.390;13.214.144;754;;48387;1874318;1825931;;;;;
27;13.214.144;13;192.168.1.16;13.107.21.200;TCP;66;57553  >  443 [ACK] Seq=202 Ack=2905 Win=262144 Len=0 SLE=7261 SRE=7349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.214.144;13.214.374;230;;1874318;413561;-1460757;;;;;
28;13.214.374;13;192.168.1.16;13.107.21.200;TCP;66;57553  >  443 [ACK] Seq=202 Ack=4357 Win=262144 Len=0 SLE=7261 SRE=7349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.214.374;13.214.597;223;;413561;265;-413296;;;;;
29;13.214.597;13;13.107.21.200;192.168.1.16;TCP;2958;[TCP Out-Of-Order] 443  >  57553 [ACK] Seq=4357 Ack=202 Win=525312 Len=2904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.214.597;13.214.807;210;;265;2015711;2015446;;;;;
30;13.214.807;13;192.168.1.16;13.107.21.200;TCP;54;57553  >  443 [ACK] Seq=202 Ack=7349 Win=262144 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.214.807;13.963.767;748960;;2015711;0;-2015711;;;;;
31;13.963.767;14;192.168.1.16;40.90.189.152;TLSv1.2;97;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.963.767;14.037.318;73551;;0;1364335;1364335;;;;;
32;14.037.318;14;40.90.189.152;192.168.1.16;TCP;54;443  >  65133 [ACK] Seq=1 Ack=44 Win=7472 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.037.318;14.138.176;100858;;1364335;1281;-1363054;;;;;
33;14.138.176;14;40.90.189.152;192.168.1.16;TLSv1.2;228;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.138.176;14.186.563;48387;;1281;22305;21024;;;;;
34;14.186.563;14;192.168.1.16;40.90.189.152;TCP;54;65133  >  443 [ACK] Seq=44 Ack=175 Win=255 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.186.563;16.060.881;1874318;;22305;865;-21440;;;;;
35;16.060.881;16;192.168.1.16;52.114.132.91;TCP;54;57540  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.060.881;16.474.442;413561;;865;368;-497;;;;;
36;16.474.442;16;104.16.236.42;192.168.1.16;TCP;54;443  >  57552 [FIN, ACK] Seq=1 Ack=1 Win=65536 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.474.442;16.474.707;265;;368;0;-368;;;;;
37;16.474.707;16;192.168.1.16;104.16.236.42;TCP;54;57552  >  443 [ACK] Seq=1 Ack=2 Win=65792 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.474.707;18.490.418;2015711;;0;349;349;;;;;
